name,year,status,fldRecoverableLiquids,fldRecoverableGas
6607/12-2 S (Alve Nord),2011,:likely,13.5,30.6
6705/10-1 (Asterix),2009,:clarification,1.9,108.0
6706/11-2 (Gymir),2015,:not-evaluated,0.0,12.6
6706/12-3 (Roald Rygg),2015,:not-evaluated,0.0,15.1
6706/6-1 (Hvitveis),2003,:not-evaluated,0.0,47.2
6707/10-3 S (Ivory),2014,:not-evaluated,0.0,32.1
7120/1-3 (Gohta),2013,:likely,92.0,39.1
7120/12-2 (Alke Sør),1981,:likely,6.4,71.5
7121/5-2 (Snøhvit Beta),1986,:likely,1.9,15.7
7122/6-1 (Tornerose),1987,:clarification,1.1,23.2
7220/11-1 (Alta),2014,:clarification,166.1,61.0
7324/8-1 (Wisting),2013,:likely,355.3,0.0
AASTA HANSTEEN,1997,:pdo-approved,5.7,286.2
ALBUSKJELL,1972,:shut-down,52.8,97.5
ALVE,1990,:producing,19.5,42.1
ALVHEIM,1998,:producing,296.3,60.4
ATLA,2010,:producing,1.9,8.8
BALDER,1967,:producing,471.8,12.6
BAUGE,2013,:pdo-approved,47.6,10.5
BLANE,1989,:producing,5.0,0.0
BRAGE,1980,:producing,398.8,27.7
BRYNHILD,1992,:producing,3.8,0.0
BYRDING,2005,:producing,8.8,0.0
BØYLA,2009,:producing,21.4,1.3
COD,1968,:shut-down,21.4,45.9
DRAUGEN,1984,:producing,924.6,10.7
DVALIN,2010,:pdo-approved,3.8,112.6
EDDA,1972,:shut-down,31.5,12.6
EDVARD GRIEG,2007,:producing,178.0,15.7
EKOFISK,1969,:producing,3527.4,999.5
ELDFISK,1970,:producing,863.0,273.0
EMBLA,1988,:producing,79.3,42.8
ENOCH,1985,:producing,1.9,0.0
FLYNDRE,1974,:producing,1.3,0.0
FRAM,1990,:producing,241.5,70.4
FRAM H-NORD,2007,:producing,4.4,0.0
FRIGG,1971,:shut-down,3.1,730.9
FRØY,1987,:shut-down,35.9,10.1
GAUPE,1985,:producing,2.5,2.5
GIMLE,2004,:producing,20.8,6.9
GINA KROG,1978,:producing,125.8,74.2
GJØA,1989,:producing,139.6,226.4
GLITNE,1995,:shut-down,56.0,0.0
GOLIAT,2000,:producing,195.0,0.0
GRANE,1991,:producing,907.0,0.0
GUDRUN,1975,:producing,91.2,49.7
GULLFAKS,1978,:producing,2402.2,145.3
GULLFAKS SØR,1978,:producing,468.0,532.8
GUNGNE,1982,:producing,44.0,96.9
GYDA,1980,:producing,239.6,39.0
HANZ,1997,:pdo-approved,15.1,2.5
HEIDRUN,1985,:producing,1185.7,308.2
HEIMDAL,1972,:producing,42.1,289.3
HOD,1974,:producing,66.7,11.3
HULDRA,1982,:shut-down,33.3,108.8
HYME,2009,:producing,21.4,5.7
ISLAY,2008,:producing,0.0,0.6
IVAR AASEN,2008,:producing,152.2,27.7
JETTE,2009,:shut-down,2.5,0.0
JOHAN CASTBERG,2011,:decided-for-production,554.1,68.6
JOHAN SVERDRUP,2010,:pdo-approved,1799.6,54.1
JOTUN,1994,:shut-down,145.3,5.7
KNARR,2008,:producing,65.4,1.9
KRISTIN,1997,:producing,195.0,182.4
KVITEBJØRN,1994,:producing,276.1,607.0
LILLE-FRIGG,1975,:shut-down,8.2,13.8
MARIA,2010,:producing,171.1,13.8
MARTIN LINGE,1978,:pdo-approved,81.8,162.3
MARULK,1992,:producing,6.9,42.8
MIKKEL,1987,:producing,112.6,215.1
MIME,1982,:shut-down,2.5,0.6
MORVIN,2001,:producing,62.9,27.0
MURCHISON,1975,:shut-down,89.3,1.9
NJORD,1986,:producing,240.3,147.2
NORDØST FRIGG,1974,:shut-down,0.6,73.0
NORNE,1992,:producing,583.1,64.2
ODA,2011,:pdo-approved,45.3,1.9
ODIN,1974,:shut-down,1.3,171.7
ORMEN LANGE,1997,:producing,122.7,1876.3
OSEBERG,1979,:producing,2591.5,730.3
OSEBERG SØR,1984,:producing,422.1,135.9
OSEBERG ØST,1981,:producing,171.1,2.5
OSELVAR,1991,:producing,5.7,3.1
REV,2001,:producing,5.7,17.0
RINGHORNE ØST,2003,:producing,91.8,1.9
SIGYN,1982,:producing,64.8,50.3
SINDRE,2017,:producing,0.1,0.0
SKARV,1998,:producing,151.6,279.3
SKIRNE,1990,:producing,14.5,67.3
SKULD,2008,:producing,36.5,2.5
SLEIPNER VEST,1974,:producing,278.0,885.6
SLEIPNER ØST,1981,:producing,252.2,427.7
SNORRE,1979,:producing,1771.9,41.5
SNØHVIT,1984,:producing,213.2,1407.7
STATFJORD,1974,:producing,3786.6,532.1
STATFJORD NORD,1977,:producing,268.6,13.8
STATFJORD ØST,1976,:producing,251.6,25.8
SVALIN,1992,:producing,58.5,0.0
SYGNA,1996,:producing,71.1,0.0
TAMBAR,1983,:producing,70.4,13.8
TOMMELITEN GAMMA,1978,:shut-down,28.3,61.0
TOR,1970,:shut-down,161.7,68.6
TORDIS,1987,:producing,428.3,30.2
TRESTAKK,1986,:pdo-approved,67.9,4.4
TROLL,1979,:producing,1949.9,9012.3
TROLL BRENT B,2005,:pdo-approved,3.8,0.0
TRYM,1990,:producing,9.4,21.4
TUNE,1995,:producing,22.6,117.6
TYRIHANS,1983,:producing,271.1,267.3
ULA,1976,:producing,551.6,24.5
URD,2000,:producing,50.3,1.9
UTGARD,1982,:pdo-approved,12.6,12.0
VALE,1991,:producing,17.0,18.2
VALEMON,1985,:producing,15.7,104.4
VALHALL,1975,:producing,935.3,172.3
VARG,1984,:shut-down,102.5,1.9
VEGA,1981,:producing,101.3,122.7
VESLEFRIKK,1981,:producing,359.2,35.2
VEST EKOFISK,1970,:shut-down,85.5,163.5
VIGDIS,1986,:producing,442.8,11.3
VILJE,2003,:producing,90.6,0.0
VISUND,1986,:producing,283.7,349.7
VISUND SØR,2008,:producing,22.6,37.7
VOLUND,1994,:producing,81.1,7.5
VOLVE,1993,:shut-down,66.0,5.7
YME,1987,:shut-down,49.7,0.0
YTTERGRYTA,2007,:shut-down,4.4,13.8
ÅSGARD,1981,:producing,1012.7,1344.8
ØST FRIGG,1973,:shut-down,0.6,57.9
